2,Kelly Holmes to urge ministers to change dated fundraising laws,"OLYMPICS legend Dame Kelly Holmes will this week urge ministers to overhaul outdated fundraising laws that deny good causes millions of pounds.

The double gold medallist – whose charity has provided mentoring from sports stars to 240,000 youngsters – wants the Government to press ahead with changes to lottery rules.

Charity Minister Tracey Crouch launched a consultation in June to increase the amount they can raise in ticket sales from £10 million a year to £100 million.

It is also proposed to increase cap on prize money from £4 million to £5 million.

Dame Kelly says raising the move £100 million would make a “huge difference to charities like mine” as lotteries are freed to raise millions more pounds.

Under the current rules, bosses are having to turn down four out of five applications for funding from local charities because of the limits.

But Dame Kelly has joined a huge charity sector groundswell pressing the Government to go further and raise the draw limit to £10 million to “future-proof” the system.

The proposals are supported by The Lotteries Council, the Institute of Fundraising, the Hospice Lotteries Association and over 70 major charities.

She writes in The House magazine: “Charity lotteries are being held back in raising funds for charities and good causes by the outdated fundraising limits imposed on them.

“These limits cause severe administrative difficulties and result in considerable funds being diverted away to pay for the increased administration costs.

“As ministers finalise their plans for updating the law in this area I urge them not to miss this great opportunity to get the best deal for charities and all the amazing good causes they support.”

Dame Kelly, who won gold in both the 800m and 1500m at the 2004 Athens Olympics and set up her charity, the Dame Kelly Holmes Trust, joins fellow sporting legend Dame Ellen MacArthur in backing an overhaul of the current laws.

World record-setting solo sailor Dame Ellen, who runs charities to help children recover from cancer and move the world towards a circular economy, lent her support to the ideas earlier this year.

Dame Ellen said: “I know from my personal experience with the Ellen MacArthur Cancer Trust and the Ellen MacArthur Foundation, just how important the funds raised by charity lotteries can be.

Support from players of People’s Postcode Lottery has enabled us to do charitable work that would simply not have been possible otherwise.

“It has allowed us to expand our work in supporting young people living with cancer to transform their lives through sailing, and also in tackling global issues like marine plastics.

I support efforts to make People’s Postcode Lottery’s work even more impactful by raising society lottery limits.”

Clara Govier, Managing Director of People’s Postcode Lottery, said: “Ministers have a chance to help us raise millions more for charities and good causes at no cost to the taxpayer. I hope they will join Dame Kelly and Dame Ellen to get these changes over the finish line and deliver a win-win that will help transform lives.”

GOT a story? RING The Sun on 0207 782 4104 or WHATSAPP on 07423720250 or EMAIL exclusive@the-sun.co.uk",United Kingdom,2018.09
5,Iceland chief calls for immediate support on recycling pledge,"THE head of packaging from Iceland Foods has told the Sunday National that urgent action must be taken to simplify recycling and give cons-umers confidence about where their plastic waste goes.



 Speaking ahead of a major environmental conference to be held in Edinburgh next week, Ian Schofield said the market-leading pledge by their chain to remove plastic packaging in the next five years must be supported by more clarity around recycling from government and local authorities.



 The Sunday National is campaigning to cut the use of plastic food packaging.



 Schofield said: “We all think all our councils are doing a great job with recycling but some of it goes in the ground and some of it was going to China. So we need to see some action now on the best recycling methods and I think consumers are starting to put pressure on government as well as on retailers. Consumers are getting very clued up.



 “The momentum of change is starting to take effect. We need a really easy-to-understand national method of getting rid of plastic waste packaging so that every person knows exactly where to put each material and what will happen to it – compost, recycled, re-used. 



 “So the big question for the [Scottish Government] is what are you doing to make sure that these products are being re-used and recycled properly and that consumers know for a fact that what they put into recycling will be treated properly?”



 Iceland have made the most meaningful commitments of all UK supermarkets in the fight against plastic waste. In January this year Iceland announced it would eliminate or drastically reduce plastic packaging of all its own-label products by the end of 2023, effecting more than 1000 of its own brand products. The chain has just over 2% of the UK supermarket mix.



 Using the hashtag #toocoolforplastic, managing director Richard Walker and his father, Iceland founder Sir Malcolm Walker, have been loudly campaigning against plastic waste in recent months.



 Schofield said the chain is taking the action because “the sea is full of plastic, and we’ve all seen Blue Planet and the havoc it’s causing, and at the start of this year we really just decided enough is enough. In January I was about to launch a children’s food range and it was all wrapped in plastic – ridiculous really.



 “In effect we are removing 13,000 tonnes of plastic and 3000 tonnes of carrier bags over the next five years.”



 Other retailers including Tesco, Asda, Sainsbury’s, Aldi and Lidl have signed up to the UK Plastics Pact which promises to move to 100% of plastic packaging to be reusable, recyclable or compostable by 2025.

 Schofield said Iceland Foods would not be joining the Plastics Pact.

“We’ve made the most serious commitment, and we’ll deliver on our promise years ahead of anyone else. We applaud what they are doing but we are removing plastics completely in five years, and if we can do it so can others.



 “I am scouring the world, universities and research centres to find materials that will wrap frozen, chilled and eventually grocery products to remove plastic. One of my biggest challenges is not finding the materials, it’s doing it cost effectively. The consumer can’t afford to pay for this, so we are looking for really good innovations.”



 Schofield added that he is personally reflective about changes in the industry. “The ironic thing was that 40 years ago when I trained as a packaging technologist, including in some Co-op factories up in Scotland and the fish factory we had in Aberdeen, I was moving everything from natural products like board and cellulose into plastic, “ he said. “And 40 years later I’m taking them out.”



 Schofield is a keynote speaker at the Scottish Resources Conference in Edinburgh next week, hosted by Zero Waste Scotland, Sepa and CIWM, the charted body for waste professionals. Over 400 policy makers, entrepreneurs, inventors, business leaders, academics and investors will discuss marine litter prevention, the new Deposit Return scheme, biodegradable landfill ban and Zero Waste Towns.



 Environment Secretary Roseanna Cunningham is expected to make an announcement on Scottish Government policy at the event.



 On Thursday night the Scottish Resources Awards will recognise game changers in the industry, as well as a new award for young to mark the Year of Young People.



 Iain Gulland, Chief Executive of Zero Waste Scotland said: “It is really encouraging to see Scotland’s young people making a difference in Scotland’s efforts to create a more circular economy.”",Scotland,2018.09
6,Cities to chart circular path,"Next month’s Local Renewables Conference in Freiburg and Basel has a theme: urban transformation to a circular economy.

Innovators Magazine is a media partner with the event, supported by the City of Freiburg, the City of Basel and ICLEI Europe. which will bring together representatives from cities worldwide, as well as research, finance and energy experts.

The conference take place between 24 – 26 October – register now.",United Kingdom,2018.09
7,Opinion | Destroying Clothes Is Fashion’s Dirty Secret. And We're Complicit.,"You get the sense that luxury fashion label Burberry very much regrets its decision to burn $38 million of unsold stock rather than let it fall into the wrong hands. It was embarrassing. The Burberry burn — #burnberry on social media — broke as a huge story in July, just two months after the brand announced it was a core signatory to Making Fashion Circular, an initiative aiming to design waste out of fashion and keep resources in circulation. When you cremate clothes, that’s obviously not going to happen. The materials are lost. It’s the antithesis of the circular economy. The company moved to stem the fierce criticism and this month announced it would immediately cease incinerating clothes. But the backlash shined some light on the practice of destroying fashion. Burberry had not tried to hide its use of incineration, which was listed in its 2017/2018 annual report under “finished goods physically destroyed during the year.” But most brands don’t talk publicly about the practice, which they have no obligation to disclose. So why do they do it? Most often, the reason is to avoid devaluing the brand; there is a terror of what discounting would do to prestige. Some brands, such as Chanel, never discount. The idea is, keep it scarce and you keep it exclusive. Over the last two years, Cartier owner Richemont, for example, has bought back about $575 million worth of watches from retail partners to avoid having the timepieces sold more cheaply on the gray market of unauthorized retailers. Most were destroyed, and the parts were recycled.

It’s not just high-end brands that are destroying their stock. Fast fashion is at it too. In 2017 it was revealed that fashion behemoth H&M — which has made much of its green agenda with recycling points in stores and what it calls a Conscious Collection — burned about 19 tons of obsolete clothing (the equivalent to 50,000 pairs of jeans) in a waste-to-energy facility run by one of Sweden’s energy giants, Mälarenergi. H&M said that the clothes were unsellable for safety reasons — for example, they didn’t meet restrictions on chemicals or had been damaged by mold. The company used the same defense again this month after the German current affairs program “Frontal 21” dedicated a show to an investigation into the burning of unsold H&M stock in Germany, alleging that the brand destroyed 100,000 pieces of clothing unsold from multiple seasons. And Nike was the subject of a New York Times article in 2017 that alleged the company slashed clothing and shoes to render them unwearable before disposing of them. Public outcry over the destruction of fashion overstock shows that these methods of disposal carry an unofficial public approval rating close to zero. To input all the resources, emit so much pollution and waste and then destroy those clothes is pure madness, given the ecological emergencies we face. Waste and fashion go hand in glove. The industry continues to pump out a swelling inventory; each year, north of 100 billion new garments from virgin fibers are pushed onto the market. H&M alone was reported in March to have $4.3 billion worth of unsold clothes. The energy needs of fashion are incredible. More often than not — particularly in fast fashion — these demands are shouldered by developing economies with scant or patchy energy cover. A Cambodian factory producing garments for export, for example, needs power to iron and dye clothes. The French environmental organization Geres estimated that garment factories in Phnom Penh burn through 2.3 million cubic feet of wood every month. To feed wood-fired boilers, factories are clearing old-growth forests. Then there are the emissions. The fashion industry pumps out more carbon dioxide than international flights and shipping combined, according to a 2017 Ellen MacArthur Foundation report.

There are moves to change the practice of destroying fashion overstock, although few address the issue in any systematic way. An insider from the luxury goods sector who wished to remain anonymous said that the days of luxury design houses’ incineration of substantive collections that have failed to sell is probably gone. “Instead, there’s a cascade. Unsold stock is put through outlets, or garments and accessories disassembled and used in different ways. For example, the hardware like the zips and buttons can be removed. Incineration is the last resort.” When it comes to this cascade, luxury goods brands have more options and more leverage than fast fashion brands. There are arguably more opportunities to reclaim their products and re-enter them in the supply chain. But fast fashion brands, already at low price and high volume, shouldn’t expect to be invited into discount luxury outlets anytime soon. Because fast fashion makes up the lion’s share of the average wardrobe and is bought and discarded quickly, when we talk about today’s out-of-kilter fashion consumption and disposal, we are really talking about this market.

 Many people look to clothing recycling as a more acceptable and promising way of managing our fashion waste. Sure, there is vast potential; that is a given when the entry point is runaway consumption and resource use. But anybody who thinks we can miraculously scale up fashion recycling to counteract overproduction is verging on the delusional. There is progress being made in the pursuit of recycled fiber. You might have noticed a big increase in the amount of fashion on the market made of yarn from recycled waste fishing nets, for example.

But this is still mostly tinkering around the edges. What’s important to understand: It’s not exciting innovation that will make recycling viable but dull old legal curbs on retailers, manufacturers and distributors. Here, France leads the way. Regulation there now means that fashion producers must take responsibility for the end of life of the clothing they put on the French market, usually through participation in collecting and recycling programs.Other French initiatives are trying to limit the amount of different sorts of fibers that fashion producers may place on the French market. Complexity is the enemy of all recycling schemes. But this French revolution is an anomaly. Elsewhere, including the U.S., there seems to be little appetite to curb the unsustainable habits of brands and get them to take real responsibility. The fact is that with a global fashion inventory this huge, even with an injection of good ideas and innovation, recycling will never triumph.

 This brings us to a difficult conclusion as consumers. We hate incineration and destruction generally, but we’re continuing to prop up the low-cost, high-volume system that makes it an inevitability. It’s estimated that we buy about 60 percent more clothes annually than we did in 2000 and wear each item less before ditching it. Per capita, Americans send about 70 pounds of textiles a year to landfills. When are we going to look at our own consumption habits and demand that fashion brands produce fewer clothes? For more content and to be part of the “This New World” community, follow our Facebook page. 



HuffPost’s “This New World” series is funded by Partners for a New Economy and the Kendeda Fund. All content is editorially independent, with no influence or input from the foundations. If you have an idea or tip for the editorial series, send an email to thisnewworld@huffpost.com",Switzerland,2018.09
10,Automate to accumulate,"How companies can harness advances in technology to help their businesses

This area is reserved. Please register for a trial, or subscribe for full access to continue reading. If you are a subscriber, login here.

Already have an account, click here to sign in",United Kingdom,2018.09
11,Pressure is on to improve recycling/reuse of plastics,"Pressure is on to improve recycling/reuse of plastics Digital Edition: Pressure is on to improve recycling/reuse of plastics The movement towards reducing plastic production and waste has been gather­ing strength for some time

This area is reserved. Please register for a trial, or subscribe for full access to continue reading. If you are a subscriber, login here.

Already have an account, click here to sign in",United Kingdom,2018.09
12,When collaboration is key to boost urban recycling,"This area is reserved. Please register for a trial, or subscribe for full access to continue reading. If you are a subscriber, login here.

Already have an account, click here to sign in",United Kingdom,2018.09
17,,"This website uses cookies so that we can provide you with the best user experience possible. Cookie information is temporarily stored in your browser and helps our team to understand which sections of the website you find most interesting and useful.

More information about our Cookie Policy",United Kingdom,2018.09
19,Net zero emissions possible in Europe by 2050,"The range of measures used to reduce greenhouse gases (GHG) needs to be widened, with more focus on how we operate as a society such as eating meat, a study has concluded.

The research, by the European Climate Foundation and Climact, a climate and energy consultancy, stated that to be on a trajectory to net-zero by 2050, GHG emissions in Europe will need to be reduced by between 55 to 65 percent compared to 1990 levels by 2030.

This means a significant increase in ambition from the current EU 2030 target of 40 percent. The next 10 years are therefore critical, it said.

Commercially-available solutions can already take Eurrope about 75 percent of the way to net-zero if deployed at scale, it said. The remaining 25 percent can be achieved based on known approaches and techniques for which further scaling up and commercialisation is needed.

The researchers recommended more focus on how we operate as a society, for example, the introduction of circular economy principles so that products are designed to last longer, which can have major trickle-down effects on the entire value chain.

Meat consumption must be reduced by 25 percent (and at least halved by 2050) by 2030, without increasing consumption of dairy products, it stated.

Julien Pestiaux, partner at Climact, said: “What has really struck us during our research is how attainable the transition to zero emissions is: most of the tools we need are already available across all sectors, and using them will redirect the huge financial flows spent on fossil fuels back in to the European economy.”

The benefits of the transition “massively outweigh” the additional investments needed, particularly given that consumers are starting to understand circular economy principles, for example in relation to plastics, he added.

As reported by The Ecologist this week, the Labour party has committed to the target for UK emissions to be slashed to “net zero” by the middle of the century, boosting ambition from the current 80 percent set in the Climate Change Act, if they come to power.

Catherine Early is a freelance environmental journalist and chief reporter for the Ecologist. She was formerly the deputy editor of the Environmentalist. She can be found tweeting at @Cat_Early76.",United Kingdom,2018.09
20,"Scalable, Measurable, Impactful and Beyond ‘Business as Usual’","Scalable, Measurable, Impactful and Beyond ‘Business as Usual’

Attila Chikán Jr. president of the Business Council for Sustainable Development in Hungary and CEO of alternative and renewable energy specialist ALTEO Group, talks to the Budapest Business Journal about the impact of the council and the growth of sustainability in Hungary.

BBJ: How and when was the BCSDH formed?

Attila Chikán Jr.: The Business Council for Sustainable Development in Hungary was established in 2007 as the national partner organization of World Business Council for Sustainable Development. Several companies and private individuals believed that businesses should also take actions for sustainability in Hungary, therefore they founded the BCSDH. Since then, the organization has evolved into a value-creating community of business leaders of companies who presently employ more than 400,000 people and contribute approximately 30% of Hungary’s GDP. Currently our most important task is to promote the incorporation of the principles of sustainable corporate governance into practice, while actively contributing to the achievement of the UN’s Sustainable Development Goals.

BBJ: How has it changed since 2007?

AC: In 2007, BCSDH started with 15 members, and now, 11 years later, the number of member companies has grown to 81. Through the years, the council has become a unique, leading organization in its area, and connects to the government, private and business sectors as well.

BBJ: What is the significance of its membership today?

AC: The members are known to be the biggest companies with the power of influence in Hungary. Under the frameworks like the SDGs and the Paris Agreement, our members work together on big questions, such as: how do we get to net zero emissions by 2050? And how can we avoid wasting a third of the food we produce while millions of people still go hungry every day? Membership gives businesses the value, impact and voice to navigate this change and prosper by transforming themselves and the world. Members develop business solutions that are scalable, measurable, impactful and beyond “business as usual”.

BBJ: How and why did you get involved with the BCSDH?

AC: Personally, I believe that sustainability is the future of businesses. The energy sector, in which ALTEO operates, is strongly linked to sustainability and renewable energy as well. Sustainability is a significant part of ALTEO’s corporate management strategy; we shape our portfolio and investment decisions in line with this attitude. My personal vision and aim is to acquaint people with and spread responsible and sustainable corporate governance principles as widely as possible, and to provide the opportunity for Hungarian companies to become more sustainable on their own area. I also served as the head of the Action2020 Working Group for a couple of years, which has been a great experience and an exciting trip.

BBJ: How has awareness of sustainability and green business changed over the years?

AC: BCSDH was founded almost 11 years ago, which was actually the period of the culmination of corporate sustainability in Hungary. In order to be able to follow the trends, the current state and future prospects of the corporate sustainability of the council’s recommendations, we have carried out a BCSDH survey every year since 2013.

Although our survey indicates that progress with corporate sustainability in Hungary still lags behind global trends, more and more domestic company leaders are reporting that they value environmental responsibility and are preparing for the emergence of a carbon-neutral economy – one of the significant elements in a corporate sustainability strategy. The adoption of climate-related BCSDH recommendations from 2016 is clearly identifiable in the 2017 survey.

BBJ: Would you say business is driving the sustainability agenda now, or responding to market/public demands?

AC: Our opinion is that, in Hungary, companies are driving the sustainability agenda now, and we know that the global markets go through a slow transformation. Markets move toward true-value pricing and long-term value creation. Besides the birth of environmental and economic crises and the spread of “green” values by education and the media, these initiatives encourage “One World – People and Planet” behavior in society and individuals worldwide.

BBJ: What are the most important projects the council working on right now?

AC: One of our flagship programs is the “Action 2020 Hungary Program” that calls on the Hungarian business sector to take immediate action. The program is the Hungarian adaptation of the global program of the World Business Council for Sustainable Development. Within the program, five priority areas (Food and Feed; Sustainable Lifestyles; Employment; Climate Change; and Water) and 20 specific macro-level goals are defined. This year, this program has a special focus on Sustainable Lifestyles.

The aim of our “Future Leaders Talent Program” is to help potential business leaders, who today are currently talented professionals, to understand the complexity of corporate sustainability and to enable them to incorporate sustainability into their future decision-making processes. This program is unique in Hungary.

BBJ: What future sustainability trends do you expect to impact business?

AC: Most business leaders in Hungary feel that the circular economy is the future, in accordance with what we also forecast at the WBCSD. The proposed circular economy directive of the European Union is an obvious sign of its implementation into legislation. Transitioning to a circular economy is one of the greatest business opportunities nowadays. The core of the concept is not yet deeply acknowledged by most companies, although use of this model can increase the flexibility of the economy and facilitate the achievements of the Paris Agreement on Climate Change and the United Nations Sustainable Development Goals.

BBJ: How does Hungary compare with its peers when it comes to sustainability?

AC: If we look over our performance in the context of Sustainable Development Goals, we are at the end of the line compared to the close Western countries. Concerning our ecological footprint, we exceed our biocapacity, and we have an ecological deficit. Mostly it is these facts that force us to move towards more sustainable lifestyles.",Hungary,2018.09
