1,The planned national waste policy won't deliver a truly circular economy,"Australia’s government has announced new planned waste recycling targets, as part of its response to the crisis prompted by China’s decision to crack down on recycling imports earlier this year.

The wider goal of Australia’s plan to update the National Waste Policy is to embrace circular economy principles.

That process is now in train. Following engagement with industry and government working groups, a proposed update to the policy is now open for public comment.

So how well does the proposed new policy incorporate circular economy principles? The short answer is, not well enough.

Read more: Explainer: what is the circular economy?

A circular economy is centred on keeping products, components and materials circulating in use for as long as possible, through long-lasting design, repair, reuse, re-manufacturing and recycling. The ultimate aim is to minimise the amount of resources consumed, and waste generated, by our economic activities.

The proposed principles, targets and strategies are a good start. They will help tackle a range of issues, including:
• increasing the currently limited responsibility for products at end of life
• focusing on organic waste (such as food and textiles), one of the major obstacles to current recovery rates

Yet these proposals, while all crucial, represent only a moderate evolution from our current situation, rather than the revolution needed to truly embrace the circular economy.

The policy’s major focus is still on recycling and recovery, and while recycling is certainly a “circular” activity, the circular economy involves so much more than simply improving how we reclaim and reprocess unwanted materials.

A truly circular society aims to transform our whole system of production and consumption, with innovative approaches like “products as services” (through leasing or collaborative consumption) and designing for next life and new life (through repairability, modularity and disassembly).

The proposed policy misses the opportunity to focus on innovation and create a step change in not only the resource recovery industry, but our whole economy and broader society.

The public arguably has more awareness of this issue than ever before, thanks to the continuing emergence of sustainability as a concept, combined with China’s shock to our recycling industry and the media focus afforded by campaigns such as the ABC’s War on Waste documentary series.

Public awareness and expectation is one thing, but to deliver on these goals the national waste policy must strengthen the explicit adoption of circular economy principles and significantly increase support to transition towards it.

This includes such things as:
• support for innovation in business models for circular economy
• standards for imports, not just local production
• federal tax incentives, funding, and research and development to enable all of the above.

Australia has a unique opportunity to lay the building blocks for the type of economy and society we want. Let’s hope we can get it right.",United States,2018.09
4,Black Bear Develops Carbonization Process for Tire Recycling,"The problem of disposal of tires that have reached the end of their lives is an age old one. On an annual basis, 1.5 billion tires need to be disposed of. Most of these tires either get dumped or incinerated, causing great damage to the environment with CO₂ emissions and using up valuable resources.

Black Bear has developed a special carbonization process that can help recover carbon black from used tires. The company has successfully completed a growth funding round of USD 12.8 million to further refine the environmentally friendly process and rollout the technology on a global scale.

Blackbear has taken on four new partners in the venture, including Dutch banking corporation ING Group, two Netherlands-based investment firms named 5square and Social Impact Ventures and the Thai conglomerate SCG.

Commenting on this development, Black Bear CEO Martijn Lopes Cardozo said that the members of the new consortium will work together as a team not just when it comes to infusion of capital but also as strategic partners, who will play a key role in development of the new technology and expedite its global roll-out. The consortium also includes Blackbear’s existing investors, including the original funders Chemelot Ventures and DOEN Participaties (Ventures).

Black Bear’s industrial-scale prototype plant for the process is located in Nederweert in the Netherlands and it has the capacity to process over one million waste tires every year. 5,000 tons of carbon black, 5,000 tons of bio-fuel, 3,000 tons of steel and 1MW hour of green electricity will be obtained as the byproducts of this process. Black Bear will operate the plant in partnership with Kargro, which is one of the leading recyclers of tires in Europe.

Mark Weustink, director of the corporate investment team at ING Group, said that it was remarkable how Black Bear developed the technology to generate energy while converting old tires into a very high-value product. Black Bear has already won some large clients such as AkzoNobel.”

Cholanat Yanaranop, president of the chemicals business at SCG said that the company was highly committed to the circular economy and Black Bear was helping to solve a global problem. The new technology will significantly improve the carbon footprint of carbon black production.

Helmer Schukken, co-founder and partner at Social Impact Ventures, said that his company believed in the huge positive environmental impact of the technology, especially as the carbon black produced using the technology is as good as virgin carbon black in terms of cost price and quality. Another reason Social Impact Ventures invested the funding round was that Black Bear’s great management team, which includes highly experienced professionals in the fields of sales, finance and other functions required for global roll-out in addition to talented engineers.

Mark Gitsels, founder and partner at 5square, added, “When you really think about it, it’s unbelievable that only 10% of our resources are currently part of circular economies. That’s why we full-heartedly support the outstanding management team of Black Bear. Their disruptive technology is an opportunity for us to help make the world that bit better and at the same time yield attractive returns.”",United States,2018.09
8,"Moutai Group Won ""2018 World Green Design Forum Special Contribution Award""","According to the sponsors, the World Green Design Forum is an international sustainable development high-level dialogue platform initiated by Lu Yongxiang, Vice Chairman of the Standing Committee of the 11th National People's Congress of China and an academician and former Dean of Chinese Academy of Sciences, and established by Dragon Design Foundation, Association Amitie Euro-Chinoise, International Council of Design, European Regional Bureau of Xinhua News Agency, China Top Brands, a magazine supervised by Xinhua News Agency, Swiss QSC Funds, etc. The first forum was held in Lugano of Switzerland in 2011. This Summit was sponsored by the World Green Design Organization and China-Europe Forum, co-sponsored by the China Top Brands, a magazine supervised by Xinhua News Agency, and co-organized by more than 10 organizations including Innovation Norway and Dragon Design Foundation.

Professional individuals and organizations committed to promoting the application of green technologies, materials, energy and equipment with green designs and improving the living environment of mankind were commended at this Summit. Among them, Moutai Group was granted with ""2018 World Green Design Forum Special Contribution Award"" due to its contributions in environmental protection.

As introduced, the contributions made by Moutai Group to environmental protection can be classified into the following six aspects. Firstly, it has deeply carried out pollution prevention and control, established five sewage treatment facilities and entrusted professional third-party agencies to manage them. They can treat 23,000 tons of sewage per day, whose discharge meets relevant standards. According to the statistics, Moutai Group has treated a total of 2.28 million tons of sewage, whose discharge meets relevant standards, in 2017, reducing COD by 5,756.81 tons and ammonia nitrogen by 65.14 tons and achieving a treatment compliance rate of 100%. Secondly, it has promoted the ""Burning Gas instead of Coal"" project. Moutai Group has established 24 610t/h gas-fired boilers in lieu of original 22 400t/h coal-fired boilers, reducing annual coal consumption volume by 140,000 tons, annual SO2 emissions by 6,048 tons and annual smoke and dust emissions by 7,000 tons. According to the statistics, it has effectively monitored air quality in its plant areas for 357 days in 2017, including 357 days of good air quality. The rate of good air quality reached 100%. Furthermore, it has actively saved energy and reduced emissions, and recycled any cooling water from production in liquor-making workshops, continuously reducing comprehensive energy consumption per unit Moutai liquor product. A bottle washing water recycling system was also established in the packing workshops, so that about 130,000 tons of water is saved every year.

Next, Moutai Group has made great efforts to construct the automatic pollution monitoring facility and improve the scientific supervision level for environmental protection. Its sewage treatment plants all have added three new pollutant monitoring indicators (i.e. total phosphorus, total nitrogen, and suspended solids) to their online waste water monitoring systems in addition to original COD and ammonia nitrogen. There are a total of 30 sets of monitoring equipment, whose data is transmitted via network to Zunyi Environmental Monitoring Central Station of Guizhou Province, China. Then, Zunyi Environmental Monitoring Central Station of Guizhou Province truly reflects the environmental quality, sewage discharge condition, pollutant discharge strength and their change trends of Moutai Group by virtue of the monitoring big data, and deeply analyzes the change trend of environmental quality, so as to scientifically and effectively conduct environmental risk assessment and environmental accident early warning. Besides, Moutai Group has strengthened the environmental governance and ecological protection in Chishui River basin.

Since 2014, it has annually contributed RMB 50 million to Sichuan Provincial People's Government as a special environmental protection fund for consecutive 10 years. Finally, it has established a circular economy industry demonstration park, promoted comprehensive organic utilization of distillers' soluble wastes, achieved an annual treatment capacity of around 100,000 steamers of distillers' soluble wastes and maximized the reduction of solid waste discharge, achieving corporate ""green, low-carbon and circulative"" development.",United States,2018.09
13,GHCL launches 'Cirkularity' bedding range,"GHCL Limited has launched 'Cirkularity', a range of bedding that supports circular economy and centres on ‘Reduce, Reuse and Recycle’, reinforcing its passion towards sustainability, traceability, innovation and giving back to society. At GHCL Ltd, sustainability is a core element of business strategy as defined under the aegis of GHCL Way.

The collection of sustainable beddings launched under 'Cirkularity' includes The Spin WIN Collection, The Nefertiti Collection, The Velvette Collection, The Sylva-Cell Collection, The Wood Wheel Collection, The Comall Collection and The Cratus Collection, GHCL said in a press release.

""We are proud to unveil 'Cirkularity',a range of bedding the supports the circular economy. The entire range of collection which is a part of this range centres around the concept of Reduce, Reuse and Recycle. With the launch of 'Cirkularity', we aim to target the ecologically conscious consumer who is making purchase decisions to support the environment and is supportive of initiatives which help reduce the carbon footprint,"" Manu Kapur, president and CEO of GHCL Home Textiles, said.

In the last Home Fashion week market in March at New York, GHCL partnered with Applied DNA Sciences (ADNAS), Stony Brook, New York, a company that develops and employs unique technologies for the purpose of preventing counterfeiting and Reliance Industries Ltd. (RIL), an Indian conglomerate and the world’s largest manufacturer of polyester fiber and yarn to launch CertainT verified molecular tagged, recycled PET bedding products under the brand 'Rekoop'. (RR)",United States,2018.09
14,"Pakistan Gives Sacrifices For Worlds Peace, Environment: Senator Faisal Javed","ISLAMABAD, (UrduPoint / Pakistan Point News - 28th Sep, 2018 ) :A three-member delegation of parliamentarians comprising Faisal Javed, Muhammad Shafiq Tareen and Najma Hameed has reached Belgium to participate in the 10th Asia-Europe Parliamentary Partnership Meeting (ASEP10) hosted by the European Parliament.

According to the details given by Pakistan Tehreek-e-Insaf (PTI) Central Media Department, Senator Faisal Javed who is a member of the Standing Committee on Climate Change delivered a speech at the EU Parliament in the thematic session pertaining to Climate Change and its impact on the economy.� In his speech Senator Faisal Javed expressed gratification stating that he is glad to be part of the 10th Asia Europe Parliamentary Partnership meeting (ASEP10). ""A great learning as together we can fight against climate change to make this world a better place to live for generations to come"", he remarked.

He said that Pakistan has given huge sacrifices for the world peace, for world's environment, and of-course environment for peace.

""Here is an example from Pakistan - under the leadership of Prime Minister Imran Khan, Pakistan has become the first country to meet the International Bonn Challenge - where we restored over 350,000 hectors land into forests - planted over a billion trees, provided over 13,000 private tree nurseries boosted local incomes as it created over 500,000 green jobs"" he elaborated.

Shedding light on the success of PTI's billion tree tsunami project, he stated that Pakistan was the first to meet this challenge that it took of restoring 350,000 hectares. ""Also audited by World Wildlife Fund (WWF) an independent audit that declared this project as environmental, economic and social success.

Also acknowledged by World Economic Forum"", he further added.

He stated that the next plan of the Government of Pakistan was to plant over 10 billion trees across Pakistan. In this regard, he added,� ""On the inaugural day of this campaign we planted 1.5 million trees."" So he hoped that within next 5 years the government would be able to plant over 10 billion trees across Pakistan.

He said that the focus of the government is on green energy, clean water, green jobs and efficient use of resources as it knew the fact that there is a huge challenge. There is requirement of having 25% of forest land, but Pakistan stood at 2.5% of its total forest land.

He imparted ""together we can, and together we must, combat climate change from this forum we take back great learnings as we share ideas and we do see some great deal of seriousness among all of us in terms of addressing this great challenge.""� He stated that the political will and commitment ensured achieving a huge milestone and we are looking forward to take up yet another challenge of planting 10 billion trees in Pakistan.

The chair thanked Senator Faisal Javed and said the ASEP10 takes a lot of encouragement from what is said here.

Pakistan Senate delegation makes it to the European Parliament to attend a two days ASEP10. The Asia-Europe Parliamentary Partnership (ASEP) is the parliamentary extension of the Asian-European political dialogue, an effort to enhance relations between Europe and Asia.�MEPs and MPs from EU member states, 18 Asian countries are debating the environmental challenges that Asia and Europe are facing: sustainable development and the circular economy.",United States,2018.09
16,Shifting Infrastructure Landscapes in a Circular Economy: An Institutional Work Analysis of the Water and Energy Sector,"Under pressure by the transition towards a circular economy, the infrastructure landscape is changing. Using Institutional Work as an analytical lens, this article analyses the work actors do to change and adapt institutional structures. In this process of restructuring, the research shows that there are four dominant types of institutional work: Enabling, Constructing Identities, Constructing Normative Networks, and Changing Normative Associations. The increasing fragmentation of infrastructure as well as the increasing connections made between different flows forces organisations to readjust their internal institutions as well as those that guide their interactions with their surroundings such as other organisational actors as well as citizens. Circularity requires a restructuring of infrastructure governance in order to adapt to the increasing flux caused by decentralised technologies and the need for integration of different systems. Additionally, the actors associated with energy and water infrastructure are responding accordingly. View Full-Text",United States,2018.09
18,Taiwan’s EPA Turns Hazardous Waste Into Raw Materials With New LCD Recycling Process,"Taiwan’s EPA Turns Hazardous Waste Into Raw Materials With New LCD Recycling Process

Environmental Protection Administrations (EPA) around the world utilize a wide range of tactics to encourage more environmentally responsible behavior from the companies they regulate, spanning the full gamut from the carrot to the stick.

CleanTechnica spoke with Taiwan’s Environmental Protection Administration at the Taiwan Circular Economy show, which was co-located with 2018 Energy Taiwan last week in Taipei. EPA expert Shan-lun Lee shared a new recycling program with us that the agency has developed in conjunction with the Industrial Technology Research Institute (ITRI) that enables discarded liquid crystal display (LCD) panels to be broken down and recycled into fresh new raw materials.

The new process is a vast improvement on the old process for handling discarded LCD panels, which consisted of literally burying them. I’m sure that’s going to come back to bite us in the hindquarters in the future, but for now, it’s exciting to have a new and improved process to handle the waste and turn it back into granulated glass particles and a refined liquid that is used in between the layers of the liquid crystal displays themselves.

The new nanotech process that is used to break the glass down results in a fine white powdered glass that can be used for a variety of downstream value-add processes. One of the early uses for the glass powder is as a filter media that is already being used to filter out heavy metals like cadmium and copper from wastewater.

Managing water runoff from industrial facilities is a key part of environmental compliance, and much of that work is focused on minimizing the metals in the runoff. The ability to utilize the powdered glass to filter metals out of the water is a nice use case that also helps to improve the health of the environment. After the metals have been filtered out, they can be extracted from the filter media and appropriately managed.

Alternately, the powdered glass material can also be used to make new glass products, albeit at a slightly lower quality than pure glass feedstock.

The new ITRI process captures the liquid from the discarded LCDs and purifies it back to a usable quality. It is not at the same quality as virgin LCD liquid but a demonstration display that showed LCDs produced using virgin fluid and reclaimed fluid side by side showed just how functional the reclaimed fluid is in new products. I couldn’t tell the difference, for what that’s worth, but I make no claims to be an expert in LCD quality.

The new recycling process highlights the opportunity for environmental protection agencies to use their power and authority to work with businesses and non-profits like ITRI to develop new ways of handing waste that do less harm to the planet or better yet, turn waste products into usable raw materials. The carrot is always more fun and effective than the stick.",United States,2018.09
21,Trower: 'UK must address plastics reprocessing gap',"Recycling and waste management firm, Viridor, has called on the UK to address its “reprocessing capacity gap” for plastics, if it is to achieve future recycling targets and move towards a “truly circular economy.”

The need for action was highlighted by Viridor Resource Management managing director, Keith Trower, today after the company issued its 2018 Viridor Recycling Index. This week, the growing concern for plastics has reached an “all time high,” according to the report, where “four in five” respondents believed the UK should be finding alternative methods to deal with its own recycling, instead of exporting it to other countries.

The document also cited that 83% of respondents said they would be encouraged to increase their recycling activities, if they knew it would be utilised to produce renewable energy. Meanwhile, 75% of people surveyed said they understood the term “Right Stuff, Right Bin” and 45% were willing to pay additional tax on non-recyclable plastics.

Mr Trower said: “We need to support the circular economy. The fact that China closed its doors creates a huge opportunity for investment and manufacturing in Europe.

“We cannot send the plastic to landfill and we should aim to minimise non-recyclable plastics used for energy recovery. There are not any collective markets as big as China for export, so effectively the plastics we were exporting now have to be processed in Europe and the UK. This requires government support.”

Adding to Mr Trower’s views, Phil Piddington, managing director of Viridor, commented: “Public concern over the environmental impact of plastics continues to gain momentum in the UK, in parallel to a broader awareness of the importance of recycling generally.

“The 2018 Index shows that not only are people increasingly confused over what and how they can recycle, they’re also becoming less confident that businesses or government are playing their respective roles in ensuring resources are given new life,” adding that Viridor is working closely with retailers and packaging manufacturers to make products, such as plastics, more recyclable.”

Mr Trower stated that a form of PRN reform could address “market volatility” through guaranteeing a minimum fixed price PRN value equitable to the cost of processing the material.

He explained: “This would give reprocessors the certainty needed to make a more informed decision on the viability of large scale investments and, therefore, not only promote recycling capacity but also promote UK infrastructure and business in the face of Brexit.

“Several leading brand owners are known to be looking at ways that they can increase the recycled content within their packaging products. One of the barriers in achieving their ambitious voluntary targets is the availability of suitable capacity within the UK market.”

A number of retailers have individual targets in place for making their packaging more recyclable. Coca-Cola, for example, has pledged to recycle 40% of its materials in packaging by 2020, while L’Oreal said 100% of its packaging will be rechargeable, refillable, recyclable or compostable by 2025. Similarly, P&G is aiming for a target of 50% within the same year as L’Oreal, said Viridor.

“Ultimately, we need more consistent collections, we need to continue to educate and engage the public on plastics recycling, and we need more recycled plastics going into domestic manufacturing,” Mr Trower commented. “With effective EPR & PRN reform and with clear government support, our sector stands ready to deliver the vital additional services and infrastructure required.”",United States,2018.09
24,Sustana and the Carton Council Want to Close the Recycling Gap in Wisconsin,"According to a recent survey, Wisconsin ranks third in terms of being supportive of recycling, with almost 80 percent of residents reporting that they recycle. However, not all residents know that food and beverage cartons, such as those that package milk, juice and broth, should also be recycled.

To help ensure more Wisconsin residents know to recycle their cartons, the Carton Council, an industry organization whose mission is to increase recycling of food and beverage cartons in the U.S. and Canada, is launching a consumer education campaign in the state. Starting now through the end of the year, residents in Appleton, Green Bay, Madison, Milwaukee, Racine and Waukesha will see information on social media alerting them that food and beverage carton recycling is available in their area. Using innovative digital outreach approaches including a Facebook chatbot, an online quiz and pledge, the campaign will seek to convert audiences into carton recycling champions.

“With this campaign, we are hoping to reinforce that residents should do all they can to recycle their food and beverage cartons because they truly are needed and have a local impact,” said Jason Pelz, vice president of recycling projects for the Carton Council of North America and circular economy director for Tetra Pak. “While 79 percent of residents report they recycle materials like aluminum cans, paper and plastic bottles, that number drops to 68 percent for food and beverage cartons, showing there is room for improvement.”

There is a local connection to carton recycling in Wisconsin. Once food and beverage cartons have been sorted and baled at a sorting facility, they are sent to pulp mills like Sustana’s mill, Fox River Fiber, located in De Pere, WI. Sustana is a pulp mill equipped to separate the different materials cartons are made of, and the extracted fiber is turned into pulp that is used to produce a variety of paper-based products.

“Here at Sustana, we are proud to convert recycled carton fiber that will be leveraged in a broad range of our products—tissue, printing and writing paper, and food packaging,” said Jay Hunsberger, VP of Sales and Marketing at Sustana.“ Sustana employs 100 people from the community, demonstrating a sustainable manufacturing process that contributes a positive impact in the local area. By partnering with municipalities and being part of this supply chain, we contribute to the longevity of our community sustainability and preventing waste to landfill.”

Additionally, as if further reinforcement was needed to demonstrate the state’s commitment to recycling, the Associated Recyclers of Wisconsin (AROW) has a statewide program called Recycle More Wisconsin that aims to educate residents about all recycling in the state. AROW has long been a supporter of the Carton Council’s mission to increase awareness of carton recycling.

The Carton Council formed in 2009 to increase recycling of cartons used to package many food and beverage products, such as milk, juice, water, soups, broth, wine and beans. At that time, only 18 percent of households could recycle their cartons through local programs. Now, more than 62 percent of homes have access, representing 73.2 million households in 13,427 communities.

Originally published on Sustana's Blog. Read more here.",United States,2018.09
25,Agreement signed between Italy and China exhibition groups,"Italian Exhibition Group inked an agreement with Chengdu ZhongLian Exhibition Co., which organizes Chengdu Environmental Protection Expo.

On September 20, Italian Exhibition Group (IEG) inked an agreement with Chengdu ZhongLian Exhibition Co. Ltd., the Chinese company that organizes the Chengdu Environmental Protection Expo (CDEPE).

The agreement was signed in the presence of the undersecretary for Economic Development, Prof. Michele Geraci, during the inauguration day of the Italia Pavilion at the 17th edition of the Western China International Fair di Chengdu (WCIF), a governmental expo event of southwestern China, at which Italy was the Guest of Honor country.

Stipulated through EAGLE, the joint venture between IEG and VNU Exhibitions Asia, the agreement foresees an operation for the purchase of 60% of the CDEPE exhibition, ratifying the launch of the partnership between the two companies for the development and organization of expo events in the industry of green technologies and environmental protection with a particular focus on Western China.

The operation has the advantage of the expertise of Ecomondo organized by IEG (Rimini Expo Centre, 6-9 November 2018). The collaboration aims at the development of CDEPE (being held in 2019 from March 22-24, precisely in Chengdu), with an increase in the participation of high-tech international enterprises with innovative products and services, international buyers, and know-how on European technology in the field of green technologies. CDEPE will feature the participation of over 300 exhibitors, a layout divided into functional targeted areas, and the supervision of an authoritative scientific committee. The partnership’s objectives also include the commitment of CDEPE to favouring the incoming of qualified Chinese industry/trade members to Ecomondo 2018.

Ecomondo was also a key player at the Western China International Fair di Chengdu (WCIF), thanks to the long-term collaboration between IEG and ICE Italian Trade and Investment Agency, where in fact it was part of the Italian delegation of 55 companies in the Italia Pavilion, in one of the five thematic areas dedicated to the Environment and Sustainable Urbanization.

Lastly, in the context of the program of international cooperation between China and Italy held during the exhibition, on September 23, the Sino Italian Summit on Circular Economy and Green Growth was organized by the Italian General Consulate of Chongqing in collaboration with IEG, the Department of Environmental Protection of Sichuan, the Department of Exhibition Business of Sichuan, the Italian Chamber of Commerce in China and EEGEX – Energy Environment Global Exchange. In the context of the Forum, IEG organized a technical session involving two members of the Ecomondo Technical-Scientific Committee, extraordinarily authoritative personalities on the international research scenario, Professors Gian Marco Revel and Francesco Fatone, as well as Sandro Bisello, Technical Director of Venice Newport Container and Logistics SpA of the North Adriatic Sea Port Authority.

Prof. Gian Marco Revel, Lecturer in Measurement at the Department of Industrial Engineering and Mathematical Sciences of the Marches Polytechnic University, gave a speech on “Urban Circular Economy and Digital Technologies for Happier Citizens,” whereas the speech by Prof. Francesco Fatone, also of the Marches Polytechnic University, focused on “Challenges and eco-innovative solutions towards circular economy and industrial symbiosis in urban environment.” Lastly, SandroBisello covered the important topic “Environmental Restoration and Economic Development of Industrial Parks and Ports: case study of Venice.”",United States,2018.09
