33,The shift from a throwaway society to a more circular economy,"Associate Environment Minister Eugenie Sage: ""It's about shifting from a throwaway society to one in which we are more careful about how resources flow through the economy"".

OPINION: Recently a small male pilot whale washed ashore on a beach in southern Thailand. It died of starvation after swallowing 80 plastic shopping bags. One of the finalists in this year's International Wildlife Photographer competition shows a tiny seahorse latched onto a plastic-stemmed cotton bud.

Scientists estimate there are more than 150 million tonnes of plastics in the ocean today. If nothing changes, then it is projected that plastic in oceans will weigh more than all the fish that live in them by 2050.

As associate minister for the environment with responsibility for waste, it's my job to make sure New Zealand does its share to clean up our act when it comes to plastic pollution.

Recently Prime Minister Jacinda Ardern and I announced the Government's plan to phase out single-use plastic bags. At the weekend I announced a work programme to tackle the tougher problems associated with the mountains of waste we produce.

READ MORE: 

 * Litter by Little: Pick up a piece and join the 'Litterati'

 * Litter by Little: We should all pick up a piece of litter a day

 * Litter by Little: Alan Samson walks every day to collect litter

 * Some people don't just litter, they litter boats

 * Kiwi grandmothers pick fight against roadside litter

 * Condoms, razor blades and syringes raise concerns

The first task is to expand the number of landfills the waste disposal levy applies to. New Zealand has more than 420 known landfills, and the levy applies to only 11 per cent of them – largely the metropolitan landfills accepting household waste – and it applies to only an estimated 30 per cent of the waste stream.

According to surveys done in Auckland, construction and demolition waste accounts for about 85 per cent of the waste stream. Yet the levy applies to very few landfills where this material ends up. The levy needs to be extended to level the playing field across different types of waste and provide an incentive to encourage materials recovery and divert waste from landfill. We'll also consider whether the levy rate should be increased, consult the public and ensure the costs are reasonable.

Revenue from the landfill levy will be recycled to help councils, progressive businesses and community organisations minimise and divert waste from landfills. It will increase the ability of the Waste Minimisation Fund to invest in activities that support reduction, recovery, reuse, remanufacturing, repurposing, recycling and composting. Our waste plan will help create more jobs in the recycling and materials recovery sectors.

The second and long-overdue task is to improve the data and information available on waste. We lack a full national picture of what is going to landfill, and what is being recovered or recycled. Knowing this is critical if we are to make informed decisions.

The third big change is to develop and implement mandatory product stewardship schemes, starting with tyres, so that everyone helps take responsibility for the waste they create.

We have good law in New Zealand in the Waste Minimisation Act 2008, but have failed over the past decade to use the opportunities it provides to identify priority products and create mandatory stewardship schemes for them.

Canada has 94 product categories covered by legislated schemes where producers, retailers and consumers of products all share in the costs of dealing with those products at the end of their life and reduce waste to landfill. New Zealand has only 15 schemes, all of them voluntary, with varying levels of coverage.

I have asked ministry experts to work with businesses and the tyre sector to develop a mandatory product stewardship scheme to prevent end-of-life tyres ending up in stockpiles and posing fire and environmental risks or being illegally dumped. Unlike most other OECD countries, we have no pricing incentives to fund effective tyre take-back schemes, improved management or domestic tyre recycling.

I have also asked officials to resume work on developing more mandatory product stewardship schemes to deal with other key waste streams such as e-waste (starting with lithium batteries), and agrichemical containers. This will build on the great work of the AgRecovery Scheme.

New Zealand is feeling the effects of the Chinese Government's decision to close its borders to mixed recyclables so that China is no longer a dumping ground for the world's rubbish. China's decision creates both challenges and opportunities.

The Ministry for the Environment has created a taskforce dedicated to leading the response to this challenge, with an external working group with representatives from councils and industry to provide independent advice. It's due to report back in the next two months.

We currently recycle just 28 per cent of the 15.5 million tonnes of waste we discard in landfills every year.

New Zealand does reuse and recycle glass, clean and separated cardboard and paper, certain types of plastic, and some organic wastes. So please keep recycling. But we can and must do better.

It's about shifting from a throwaway society to one in which we are more careful about how resources flow through the economy and recognise that the materials in ""waste"" are too valuable to throw away.

We can separate our economic growth from the creation and consumption of products that will pollute or damage nature. This transition to a circular approach to the economy, where products are made to be repaired and reused rather than discarded, or the materials in them are recovered at the end of their life to be reused in other products, will happen only with the right mix of incentives and investment. That's where grants from the Waste Minimisation Fund, funded by the landfill levy, can help.

The Sustainable Business Network recently produced two reports that identified how, by using circular economy principles, Auckland's economy could be up to $NZ8.8 billion better off. The reports also concluded that, despite the increase in economic activity, there would be significantly lower carbon emissions.

It's also important that consumers, large, and small become more aware of the true environmental and social costs of their purchases and become more conscious consumers who choose reused and recycled content products.

More businesses are recognising the opportunities for change. Major supermarkets and hardware chains are phasing out single use plastic bags, some supermarkets are no longer selling plastic straws or plastic-stemmed cotton buds. In June I launched the New Zealand Plastics Declaration signed by international companies Amcor, Danone, L'Oréal, Mars, PepsiCo, The Coca-Cola Company, Unilever and Nestlé and New Zealand-based businesses Foodstuffs, Countdown, New Zealand Post and Frucor Suntory.

These firms have committed to use 100 per cent reusable, recyclable or compostable packaging in their New Zealand operations by 2025 or earlier. These companies care about the environment – but they also care about public perception of their brand. Doing the correct thing is also the smart thing.

Please join us in making our environment a cleaner, better place. Pick up some litter, email us a photo and caption, and join the Litterati Photo Gallery.

We'll update the gallery daily to recognise all the good sorts making a difference.

Captions should include your name, along with location and date of rubbish pick-up. And please add any other information you think relevant or interesting. Email us at wellington@stuff.co.nz",New Zealand,2018.09
56,Nestlé supports global commitment to reduce plastic waste | Food & Beverage,"Nestlé has joined forces with other businesses and governments in signing the New Plastics Economy Global Commitment, known as the Global Commitment, at the Our Ocean Conference in Bali, Indonesia.

The Global Commitment is an initiative of The Ellen MacArthur Foundation and UN Environment.

It aims to rethink the future of plastics by applying the principles of circular economy, in which plastics never become waste.

The Global Commitment represents a framework to work collectively on solutions that address the root causes of plastics waste and pollution.

READ: Nestlé pledges increase in recycled plastics in the European Union

Nestlé CEO Mark Schneider said the Global Commitment is a step-change that is urgently needed in order to move from a linear to a circular economy.

“We want to act and lead by example. We will do our part to ensure that none of our packaging, including plastics, ends up in the natural environment,” said Schneider.

Nestlé recognises the need for preventing packaging material ending up as waste.

This is the rationale behind the company’s goal to make 100 per cent of its packaging recyclable or reusable by 2025.

To achieve this goal, Nestlé has embarked on several research and development projects.

One of them is the NaturAll Bottle Alliance, which aims to develop 100 per cent bio-based PET to be used for its water business.

Nestlé also plays a role in the development of well-functioning collection, sorting and recycling schemes across the countries where it operates.",Australia,2018.10
65,Home,"Manufacturers of all types turn to CtL to minimize waste and work towards a circular economy. A circular economy makes the most of your valuable resources, transforming items that would normally end up in landfills and oceans into useful commodities that can be returned to the supply chain.

If you don’t already have a working take-back and recovery program, partnering with us to design a program that meets your needs will prevent missteps along the way. With strategically located operations centers around the world, CtL is a clear choice to streamline your existing or a new sustainability program.",Australia,2018.10
81,Circular economy 2.0 – ready for download,"The 2018 World Circular Economy Forum in Yokohama last week offered some great ideas for Australia’s ”circular economy 2.0”, according to Open Cities chief executive officer Lisa McLean, but so far only the most forward-thinking companies have caught on, she says.

If you thought the circular economy was a hippie fad, it’s time to google the definition and get ready for the transition.

The circular economy is now valued at 1.8 trillion euros by 2030 in Europe alone. Millions of people and tens of thousands of businesses are now participating in this innovative circular economic approach.

Rapid advancements in technology and innovation are propelling this economic transition, along with the obvious fact that earth will run out of resources to meet the current needs of our growing human population – anticipated to exceed 9.8 billion by 2050.

While leading and innovative Australian businesses are part of this transition a lot more work needs to be done right now for us to secure our place in the global circular economy 2.0.

Resources are getting too expensive, and the products created are fast becoming waste items that are not good for us or the environment.

Just last week, we found out that plastics are now officially inside humans. Not such a surprise as they have been detected in fish, marine life and salt. But now we know for sure that if they are not already inside us, they will be soon, and they may also be the cause of illnesses and even infertility.

If we were ever going to transition away from our linear throw-away economy and rethink the products we manufacture and the way we use them, now would be a good time.

Circularity economics is about decoupling population growth from resource use – ensuring the wellbeing of people does not rely on how much of our natural resources we consume.

It provides a mechanism for resource efficiency, sustainable growth and carbon elimination by promoting new business models that give humans what we really need to survive and be happy. For example, I don’t really want a light bulb – what I need is light. I don’t always want a car, but I need mobility. I definitely don’t want plastic waste, but I need food and water.

Circular economy doesn’t only generate savings for the environment, it makes economic sense by increasing competitiveness. The savings of production have been estimated in the EU alone to be to 600 billion euros – a huge increase in competitiveness, with greenhouse gas savings of around 50 per cent. New sectors, jobs and businesses are being created like battery recycling worth 400 to 500 million euros annually -–a massive increase over the past five years.

Banks are now looking to invest in the circular economy because of the new revenue streams and long-term risk mitigation benefits of circular businesses. These businesses reflect the fact that consumer demand is changing from owning to using. New ownership models are now based on sharing and prosuming – the ability to both produce and consume services.

Europe (led by Finland), Japan, China and some Canadian and US cities are now leading the transition. They are catalysing new markets and allowing people to recycle their waste over and over again in a way that extends the value chain, giving more people and businesses a chance to participate.

Starting with waste recycling, these markets are extending to utility and mobility services, enabling people to generate their own renewable energy and sell spare capacity, recycle water, and share mobility to avoid the second largest household expense of a car. The mobility revolution is occurring rapidly and globally as more people chose mobility as a service over car ownership.

Maximising resource life span and use within the value chain to use resources for longer while minimising waste, is proving to be a successful way to drive job creation, productivity, higher efficiency and innovation.

Innovative businesses already understand the impact of resource consumption and their rising costs is a significant risk that cannot be ignored. So, they are responsibly and cleverly designing business models that both avoid these risks and redefine the benefit.

Australia needs to focus on transitioning and fast – new businesses can’t compete fairly without level playing fields, without better regulation. These new businesses, along with leading councils, are pushing for better regulation that will open markets to improved sustainable services and products based on circular economics.

There is no doubt policy targets and changes in regulation are the first requirements of this economic transition. Fair policies that are consistent and reliable will ensure we can realise the economic benefits. Tariff structures that recognise circularity and are not based on linear externalities need to be developed not just in the waste sectors, but in water, energy, mobility and telco.

All Australians need to be included. Businesses that have been good corporate citizens need to be supported in the transition, and new circular business models currently shut out need to be let into the market.

It’s great to see NSW moving forward with this critical economic policy thinking, this week releasing its first draft Circular Economy policy document. It’s a unique opportunity to bring together government with Circular Economy industry and consumer leaders in a coalition that informs Australia’s transition.

As we make this transition, one thing is certain: Circular economic thinking is here to stay and is already driving our markets, our products and services – that’s a significant opportunity for Australians.

Lisa McLean is chief executive officer of Open Cities. She attended the World Circular Economy Forum 2018 in Yokohama this week.",Australia,2018.10
111,The circular economy: an explainer | APO,"There has been considerable concern in Australia in recent years about recycling efforts, and what happens to our products once they are recycled. This was brought into focus by China’s decision to ban the import of foreign waste from January 2018. Australia exports recyclable material to over 100 countries; the three main categories of which are metals, paper and cardboard, and plastics. In 2016–17, Australia exported some 4.23 mega tonnes of recycled materials, a considerable amount of which went to China. Therefore, the decision made by China to ban the import of foreign waste has a direct impact on recycling and waste management practices in Australia.

One idea put forward in response to the issue of recycling and waste management is of the transition to a circular economy. Essentially, the objective of a circular economy is to maximise value at each point in a product’s life. A circular economy seeks to close industrial loops and to turn outputs from one manufacturer into inputs for another and, in doing so, reduce the consumption of virgin materials and the generation of waste.

The Victorian government has also recently signalled its support for the creation of a circular economy, as have the governments of South Australia and New South Wales.

So what is the circular economy, exactly? This explainer provides an overview of the circular economy concept, what it looks like and why it’s being talked about. It also discusses recent research and developments in the circular economy space, and some of the challenges that may arise in its implementation. Additionally, it includes a number of examples from other jurisdictions where circular initiatives are being realised, and considers developments taking place in Australia.",Australia,2018.10
134,From the mayor’s desk,"General Manager Coralie Nichols and I attended the Hunter JO meeting in Parliament House this week. The meeting was in Sydney to coincide with the sitting of Parliament, which gives the member councils the opportunity to meet with ministers or their advisors. We had several guest speakers updating us on various topics, including information on regional events opportunities, green bonds as an alternative source of infrastructure funding, Hunter Valley Flood Mitigation Scheme and State Government/Joint Organisation funding process. We were also updated on the Greater Newcastle Metropolitan Plan. The Hunter JO has a standing committee comprising the mayors of the five Lower Hunter local government areas. The GM and I met with Minister of Roads, Maritime and Freight, Melinda Pavey, our State local member for the Upper Hunter, Michael Johnsen, and the Director Hunter Region, Regional and State Roads and Maritime Service, Anna Zycki, to discuss road and infrastructure funding for Dungog Shire. The Minister certainly appeared to be compelled by our argument, particularly around the funding of repair work to Brig O’ Johnson Bridge at Clarence Town, which will not result in an improved outcome for our residents. We reiterated our invitation to visit the Dungog Shire to see firsthand the problems that our weight loaded bridges in particular cause farmers and other businesses. I would like to thank the GM for her considerable input into this meeting. I have asked Michael Johnsen for a follow-up meeting to discuss his advocacy on our behalf with the minister regarding roads and bridges funding. The committee met to determine the categories for next year’s Australia Day Awards, and to finalise the arrangements for the day’s activities. I will update you on the categories in the next couple of weeks, once we have consensus. We will definitely have a citizen of the year and junior citizen of the year, so please consider who you would like to see nominated. The GM and I are in Albury to attend the annual LGNSW Conference. The conference has several guest speakers, including the Premier, the Minister for Local Government, the Federal Shadow Minister for Local Government and the State Shadow Minister for Local Government. Delegates vote on advocacy priorities and policies for LGNSW, the peak representative body of the Local Government Sector. There will be presentations on smart city and town technology and on recycling options for NSW LGAs, and updates on legal responsibilities for elected members and on building capabilities. A reminder that Friday is the deadline to apply for Dungog Shire’s Community Small Grants Program. Dungog Shire is presenting this program in partnership with Hunter Water Corporation. For further details, please see: https://www.dungog.nsw.gov.au/news/community-small-grants-program-2018-2019, or pick up an application form council’s office. The GM, Cr Greg Riley and I will attend this forum at Muswellbrook. The forum is to introduce the concept of the Hunter Valley becoming the first green innovation region in Australia as we move away from a carbon-intensive economy, through investment in renewable energy, agri-food, green products and design, environmental management and bio-technology. These concepts are well established in Europe and are based around the “circular economy”, with more recycling and reuse, and the bio-economy, based on the conversion of biomass into value-added products, such as food and pharmaceuticals, as well as bioenergy.",Australia,2018.10
144,NSW moves to boost recycling industry,"The NSW Government has released its draft Circular Economic Policy, but the local government and waste and recycling sectors say the government needs to do more.

It comes as the Federal Government works with the states and territories on an updated national waste policy incorporating circular economy principles, which the waste and recycling industries have been lobbying for throughout this year.

Announcing the draft policy on Monday, NSW Environment Minister Gabrielle Upton said the new approach was a better way of managing the state’s waste and resources.

“Achieving a circular economy will minimise our waste, reduce our impact on the environment and is an opportunity to boost the NSW economy,” she said.

“It’s an antidote to the current ‘linear economy’, where we make things, use them and then throw them away.”

Minister Upton said “having a circular economy provides a better operating environment for the recycling industry, as well as manufacturers, retailers and consumers. It will encourage innovation and create jobs.”

But peak bodies representing the waste and recycling sectors have criticised the NSW Government’s approach on the issue.

The Waste Management Association of Australia yesterday slammed the government’s response to a state parliamentary inquiry into technology deriving energy from waste, saying its lack of leadership was leading to frustration and delays.

The WMAA wants greater funding from the state’s current landfil levy returned to industry to incentivise landfill diversion, and for the stalled Waste and Resource Recovery Infrastructure Strategy to be completed.

Similarly, the Australian Council of Recycling has criticised the NSW Government’s use of the funds raised by its waste levy.

The “vast majority” of the $727 million collected last year through the waste disposal levy went to consolidated revenue – while the levy’s stated goal is to reduce landfill, ACOR chief Pete Shmigel told a sustainable cities conference last week.

On Tuesday the state’s local government sector also called on the NSW Government to divert the levy funds into waste management and recycling.

Local Government NSW’s Save Our Recycling Campaign, launched at the peak’s annual conference in Albury, calls on the State Government to re-invest the $727 million it collects from the waste levy each year in waste management and recycling.

LGNSW president Linda Scott said the moves to a circular economy didn’t need to involve any new costs on residents or businesses.

“A new statewide approach to recycling must be funded by the $727 million the state government currently collects through the Waste Levy, around $300 million of which comes from local government,” she said.

“At present, only 18 per cent of that $300 million is reinvested in recycling and waste management, with the rest disappearing into the government’s coffers. Local government is not asking for more money, just for the money already raised as the Waste Levy to be used where communities expect: on better recycling and waste management,” she said.

NSW is currently among the poorer performing states for resource recovery, according to the latest National Waste Report. It has a waste recovery rate of 65 per cent, putting it below Victoria (69 per cent), the ACT (75 per cent) and South Australia (80 per cent).

Minister Upton said the NSW Government is also working with the Commonwealth on the development of national circular economy principles.

Commonwealth and state ministers have committed to updating the national waste policy by the end of the year.

Australia would reduce its total waste by 10 per cent per capita by 2030 under the latest proposals for the updated national waste policy.

The proposals would also mandate 30 per cent recycled content across all goods and infrastructure procurement and diverting half the organic waste currently sent to landfill by 2030.

Comment below to have your say on this story.

If you have a news story or tip-off, get in touch at editorial@governmentnews.com.au.

Sign up to the Government News newsletter.",Australia,2018.10
154,NSW Environment Minister Gabrielle Upton accused of failing to tackle waste crisis,"NSW Environment Minister Gabrielle Upton has been accused of failing to address the state’s waste crisis by providing incentives to divert rubbish from landfill or crackdown on illegal dumping.

Australia’s peak waste body has condemned the minister’s “disappointing” and “lacklustre” response to a NSW parliamentary inquiry into waste regulation, which handed down 36 recommendations in March.

“The minister responsible for this essential industry has been unable to provide leadership or demonstrate the capacity to make decisions, resulting in significant delays, ongoing consultation without outcomes and industry frustration,” Waste Management Association of Australia CEO Gayle Sloan said.

The NSW upper house inquiry report said NSW is the second highest per capita producer of waste in the world.",Australia,2018.10
172,"Canberra news, sport and weather | The Canberra Times | Canberra, ACT",Sign up to receive our Breaking News Alerts and Daily Headlines featuring the best local news and stories.,Australia,2018.10
179,Visit your local Community Recycling Centre this weekend,"It’s recycling week, and to celebrate we're doing more than just looking at what goes in our recycling bins.

What do you do with furniture left over from your big spring clean? And how about items that can’t go in your kerbside recycling?

Chances are you can drop off items like that at one of the five community recycling centres around Auckland, facilities where residents can take their unwanted items and materials for reuse and recycling.

Most of the centres have shops on-site that sell usable household and building materials, so there are always some great finds.

Auckland Council plans to create a network of 12 community recycling centres across Auckland by 2024, as per the Waste Management and Minimisation Plan.

The Community Recycling Centres are run in partnership with community organisations and Auckland Council to reduce waste to landfill by reusing, re-purposing and recycling as much as possible.

Generally, the centres will accept the following items, but make sure to check with each one before you go:
• green waste and general rubbish (some sites only).

Do you have a community recycling centre near you? Read on to learn about the unique features of our current centres.

The Devonport site is a source of local pride, being the first recycling depot in the country and opening for the first time more than 40 years ago.

It has gone through different phases throughout the years up until recently when Auckland Council re-established the site as a Community Recycling Centre.

Now known as the Devonport Community Recycling Centre, it’s run by Global Action Plan Oceania, a registered environmental charity whose objective is to divert waste from landfill and provide sustainable new jobs and volunteer opportunities for the community.

It is also the first community recycling centre to have a circular economy landscape supplies yard, where they stock over 200 tonnes of landscaping material made from waste products.

Proceeds from the shop on site from the sale of reusable and upcycled goods from the shop on-site are invested back into the centre and the local community.

The Helensville Community Recycling Centre is run by Helensville Enterprises Trust, a local community trust. They focus on creating a circular economy, community empowerment, and jobs for local people.

They recently completed a pilot house deconstruction in partnership with Envision NZ, where they were able to divert more than 87 per cent of the materials from landfill.

Find your next treasure at their on-site op shop.

The Tipping Point sits within the Waitakere Transfer Station, the only transfer station owned and operated by Auckland Council. It is run by the McLaren Park Henderson South (MPHS) Community Trust, a local community organisation which runs diverse projects and programmes including:

The Tipping Point invests a large amount of the proceeds from the shop and yard back into the local community, supporting these initiatives.

The Waitakere Community Recycling Centre is part of the larger council-run transfer station which also includes an education centre, the Zero Waste Zone.

This centre is run by Waiuku Zero Waste a local community organisation which focuses on reducing waste to landfill and creating employment opportunities for the community.

Auckland Council is currently developing a new building on site, which will enable the centre to increase their services to include education. They are looking forward to being able to accommodate large groups from the community and provide education on how to achieve zero waste.

The centre will run repair workshops and demonstrations about responsible recycling, as well as education about sustainability, circular economy, composting and upcycling.

Items can be purchased from the Waiuku Junktion shop during opening hours.

This Stanmore Bay site opened in 2017 and is a smaller scale facility focused on recycling. Whangaparāoa Community Recycling Centre is run by Hibiscus Coast Zero Waste, a social enterprise that is committed to zero waste and sustainability.

You can go here for more details about this community recycling centre.

Play the Recycle Right game to test your knowledge and see if you know what is supposed to go in your recycling bin. Go to www.recycleright.co.nz to play.

If you’re unsure about whether an item can be recycled or not, just ask Binny.",New Zealand,2018.10
