10,EU volunteers take part in Karachi’s Sandspit beach cleaning,"KARACHI: The volunteers of European Union in Pakistan and World Wide Fund for Nature – Pakistan (WWF-Pakistan) led a two-day cleaning activity at Sandspit beach.

“Only 10 rivers around the world are responsible for 85% of the plastic pollution of the oceans. Of these, eight rivers are located in Asia, including River Indus,” said EU Ambassador HE Jean-François Cautain.

Speaking at the occasion, Ambassador Cautain said that the EU is committed to increasing awareness about plastic waste and its impact on marine life and the environment. The single-use plastic initiative is part of the EU’s broader Circular Economy agenda, including the world’s first Plastics Strategy, an EU-wide drive towards a more sustainable, circular economy.

As part of the Plastics Strategy, the EU has committed itself to look into further action to address marine litter that builds on the efforts underway in EU member states. He said, “The problem of marine litter is global by nature as it moves in the marine environment and adversely affects marine life.”

More than 70 volunteers from WWF-Pakistan and EU participated in the event. A total of 300 mangrove saplings were also planted while 100 bags of garbage were collected by the participants.

WWF-Pakistan Regional Head for Sindh and Balochistan Dr Babar Khan informed that Pakistan is among the top ten countries affected by climate change and one of the simplest actions citizens can take is to help increase the forest cover of the country, one tree at a time.

“Turtles maintain the health of the sea and removing them from the waters negatively impacts the marine ecosystem,” Dr Khan said. According to an estimate, there are more than 3,000 turtle nests on Sandspit.",Tuvalu,2018.09
150,404 Not Found,The requested URL was not found on this server.,Denmark,2018.10
161,404 Not Found,The requested URL was not found on this server.,Denmark,2018.10
231,Water reuse in the circular economy,"Continually recycling and reusing raw materials, the circular economy is rapidly becoming an imperative survival practice for industrial water users. Here, Rami Abu Amirah, global industrial water marketing manager, Dow Water Solutions, promotes the benefits for Dow's Minimal Liquid Discharge approach.",N/A,2018.10
271,Circular Economy policies and changing corporate practices: conceptualizations and empirical evidence,"Lecture in the framework of the public lecture series Social Enterprise and Social Innovation Against the backdrop of current political debates around the implementation of Circular Economy principles in the EU, our research investigates how firms and organizations respond to these imperatives and to what extent common practices tend to change. The lecture will first introduce the conceptual and methodological framing of this research question before presenting preliminary findings from case study research in Luxembourg and Sweden, conducted in the building sector, the automotive industry as well as across a diverse range of community/transition initiatives. Christian Schulz works as a Full Professor in the Institute of Geography and Spatial Planning at the University of Luxembourg since 2006. Trained as an economic geographer in Germany, France and Canada, he received a double Master’s degree from the University of the Saarland (Germany) and from the University of Metz (France). Together with Julia Affolderbach (Hull/UK) he recently published the book Green Building Transitions: Regional Trajectories of Innovation in Europe, Canada and Australia (Springer, 2018). He currently works on sustainability transitions with a focus on the challenges and opportunities of post-growth dynamics. The lecture series 'Social Enterprise and Social Innovation' explores social innovation and social enterprise as approach to address environmental and social challenges of sustainability. Diverse legal, financial and business models, and stakeholder relations aspects are discussed. One overarching theme is defining, measuring and reporting on the common good and sustainable value creation in a pluralist society.",N/A,2018.10
420,International Seminar on the Circular Economy,"The Interreg Europe BIOREGIO project, in cooperation with CPMR BSC Energy Working Group, organised an international seminar on the circular economy in Sibelius Hall, Lahti, Finland on 1 February 2019 (8.30-14.00).

Click here to view the programme.

Click here to view the presentation made during this event.",Poland,2018.11
468,Urban waste flows and their potential for a circular economy model at city-region level,"To enable cities to become more circular, i.e. close material cycles, decision-makers need detailed data about the production and treatment of waste. At city level, conventional statistics on waste are often incomplete or lack detail. Waste input-output accounting offers an alternative, using waste supply and use tables to create detailed inventories of economy-wide flows of waste. In this study we develop such tables for the city-region of Brussels (Belgium) and use them to analyse the urban waste metabolism in terms of waste flows, waste production intensity and waste treatment performance.

The waste flow analysis revealed: the amount of collected waste; the proportion contributed by individual sectors; the material composition of waste flows and the location of treatment. Currently, around 50% of the 1.5 million tons of waste collected in Brussels is treated in local facilities. However, less than 1% of the collected waste is used in a way that closes material cycles within city limits. The waste performance analysis reveals that the construction sector had the highest waste production intensity and the household sector the highest incineration intensity. In terms of waste prevention and local valorisation potential, we identified flows and sectors for future targeting, one of the most promising being food waste. We conclude that the urban context can restrict the local valorisation of waste flows, thus we see the role of cities such as Brussels in a circular economy as mainly contributing to the closing of material cycles at national or even global level.",N/A,2018.11
486,EFT Consult launches Circular Economy Club in Swansea,"Around 25 professionals gathered for Wales’ first global online festival last week dedicated to bringing together the circular economy community from across South West Wales. The event helped organisations understand the theory and application behind the concept of the circular economy.

EFT Consult, a specialist in building services design consultancy and the implementation of the principles of the circular economy, officially launched the Circular Economy Club in Swansea on 14th November 2018 with the support of 4theRegion – a new regional engagement project for South West Wales.

Held at the new Construction Wales Innovation Centre at the University of Wales Trinity Saint David Waterfront Campus in SA1, the event brought together professionals and businesses interested in sustainability, the bio-based economy, the built environment, valorisation of waste, and the Well-being of Future Generations (Wales) Act 2015.

The Well-being of Future Generations (Wales) Act 2015 is the first act of its type in the world that puts the well-being of people, resources and the planet at the heart of policy, key-decision-making and shared resource-values.

As part of the event, attendees were shown a number of inspiring short films curated by the Ellen MacArthur Foundation, and discussed the progress the region is making towards implementing a circular economy strategy for future generations to benefit from now and in the future.

The Circular Economy is an alternative to the current linear model of take, make, waste. It is designed to help organisations be more prudent with their use of resources – to reuse, recycle, regenerate, and care for the well-being of people, resources and the planet.

The Circular Economy Club (CEC) is a non-profit international network of over 2,600 circular economy professionals and organisations in over 60 countries. The CEC is headquartered in London, coordinated by volunteers.

EFT Consult, is the official organiser of the Circular Economy Club in the City & County of Swansea, reflecting the company’s determination to help the regional economy become more circular and sustainable for generations to come.

Through its work with companies and organisations in the built environment across Wales and beyond, EFT deploys circular economy principles to help building owners and managers manage, maintain and renovate their facilities in line with the Well-being of Future Generations (Wales) Act 2015.

Dave Kieft, managing director of EFT Consult, said “Circular Economy practices are not only beneficial to people and the environment, but offer cost-savings and efficiencies for all businesses and organisations in our region, as well as aligning them with the law in terms of the Well-being of Future Generations Act. It is an economic, social and environmental ‘no-brainer’ that we move our economy towards a circular model, which is why we have formed the Swansea Circular Economy Club and intend to play our part in encouraging everyone to take the principles on board.”

Adrian Matthews, Circular Economy consultant at EFT, added “The beauty of the Circular Economy model is that it serves the well-being of everyone in a sustainable way. Businesses can grow and be environmentally responsible, in a way that also helps to regenerate businesses and the economy – through circular economy and well-being principles, through local sourcing, and through the use sustainable materials, products and services.”

Dawn Lyle, founder of 4theRegion, who facilitated the event, said “We see the move towards a circular economy as a fundamental part of how our regional economy develops over the next few years. There are great rewards at stake for businesses and regions prepared to lead the way in embracing circular economy principles. That’s the message, and that’s why we’re so keen to make sure everyone knows what the Circular Economy means and is engaged in the challenge.”",N/A,2018.11
516,How to define the quality of materials in a circular economy?,Improving the circularity of our economy calls for easily quantifiable metrics that allow us to track our progress towards circularity. We propose the use of a material quality indicator based on the energy use of recycled products versus their counterparts produced from primary material inputs only. We argue that such an indicator can cover at least the environmental dimension of the circular economy in a sufficient way and is therefore useful for the assessment of the circularity of our economy.,N/A,2018.11
518,What are the most significant aspects of supporting the circular economy in the plastic industry?,"Plastic is an indispensable material to our everyday life. However, some negative properties, for example, the durability under mild conditions, pose threat to the natural environment. The circular economy is an effort to mimic the loop-closing attribute of nature in anthropogenic systems. To bring plastics in such circularity in term of circular economy, a number of issues have to be handled from the quality of the recycled material to the acceptance of its use in new products. It is sometimes only a subtle step what we can do easily.",N/A,2018.11
