V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
0%,1%,0%,0%,2%,12%,3%,0%,1%,0%,0%,6%,4%,0%,14%,35%,0%,1%,0%,18%,
0%,1%,0%,18%,0%,18%,1%,0%,0%,0%,0%,1%,2%,0%,0%,0%,55%,0%,0%,1%,
0%,0%,0%,0%,0%,0%,2%,0%,0%,95%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
45%,1%,0%,11%,1%,0%,1%,29%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,
0%,1%,0%,6%,0%,14%,18%,0%,0%,5%,0%,8%,21%,0%,0%,1%,23%,1%,0%,1%,
0%,24%,0%,14%,42%,1%,1%,0%,2%,1%,0%,0%,1%,1%,0%,1%,0%,0%,7%,5%,
1%,2%,1%,3%,0%,2%,2%,1%,0%,0%,0%,5%,0%,1%,0%,4%,69%,8%,0%,1%,
0%,4%,0%,3%,5%,0%,1%,0%,81%,1%,1%,0%,0%,0%,1%,1%,0%,0%,0%,1%,
0%,4%,0%,1%,10%,1%,1%,0%,1%,70%,0%,0%,1%,0%,10%,0%,0%,0%,0%,1%,
1%,0%,80%,1%,1%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,12%,
2%,0%,66%,1%,1%,1%,19%,0%,0%,0%,0%,1%,0%,0%,0%,3%,0%,2%,0%,4%,
0%,0%,93%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,2%,
1%,1%,1%,6%,0%,0%,21%,10%,0%,1%,1%,1%,0%,0%,0%,2%,35%,0%,0%,19%,
0%,25%,0%,0%,41%,0%,0%,0%,1%,0%,0%,0%,1%,0%,30%,0%,0%,0%,0%,1%,
0%,1%,10%,1%,1%,0%,0%,0%,72%,0%,0%,0%,1%,0%,1%,2%,0%,0%,0%,9%,
0%,0%,92%,0%,0%,0%,1%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,0%,0%,3%,
1%,0%,0%,0%,1%,0%,0%,0%,12%,0%,19%,0%,0%,0%,0%,1%,0%,63%,0%,1%,
0%,59%,0%,1%,8%,1%,1%,0%,1%,1%,0%,0%,2%,0%,0%,17%,0%,0%,2%,6%,
0%,12%,0%,1%,14%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,71%,
1%,0%,5%,0%,1%,27%,37%,0%,0%,0%,0%,3%,1%,0%,0%,9%,0%,13%,0%,2%,
